Name,Shortname,Type,Sponsoring dept,Description,URL
Pensions Ombudsman,PO,Tribunal non-departmental public body,Department for Work and Pensions,"Our role is to investigate and decide pension complaints between members of pension schemes (including personal pensions) or their beneficiaries, employers, trustees, managers and scheme administrators. We are not a regulator (""watchdog"") or a consumer champion or a trade body. We settle pension complaints, without taking sides. So when we look at a complaint, we deal with all sides fairly. We are completely independent and impartial.

The Pensions Ombudsman was established with effect from April 1991 by Act of Parliament. The statutory powers and provisions governing us can presently be found in sections 145-152 of the Pension Schemes Act 1993 (as amended) which make up Part X of that Act. They are supplemented by Regulations.

The Pensions Ombudsman is a person appointed by the Secretary of State. Tony King is currently the Pensions Ombudsman. The Secretary of State may also appoint a Deputy Pensions Ombudsman, who has the same powers as the Pensions Ombudsman. Jane Irvine is currently the Deputy Pensions Ombudsman.

The Pensions Ombudsman appoints staff to help conduct investigations and fulfil his functions. There are currently around 35 staff employed in a variety of roles.

Any decision by the Pensions Ombudsman or his Deputy is final and legally binding on all the parties to the complaint.",http://www.pensions-ombudsman.org.uk/
National Employee Savings Trust,NEST,Other,Department for Work and Pensions,,http://www.nestpensions.org.uk/schemeweb/NestWeb/public/home/contents/homepage.html
Office for Disability Issues,ODI,Other,Department for Work and Pensions,,http://odi.dwp.gov.uk
Attorney General's Office,AGO,Ministerial department,n/a,"The Attorney General's Office (AGO) provides high quality legal and strategic policy advice and support to the Attorney General and the Solicitor General.

The Attorney General is:
Chief Legal Adviser to the Crown;
a Minister of the Crown with responsibility for superintending the prosecuting departments, and
has a number of independent public interest functions.
The work of the AGO
Our work covers advice and support on the Attorney and Solicitor General's criminal and legal casework in the public interest, including:
referring sentences to the Court of Appeal if they may be unduly lenient
questions of contempt of court
prosecutions requiring the Attorney General's consent
issuing a nolle prosequi, to stop a prosecution on indictment
taking action to restrain vexatious litigants
intervening in the public interest in certain charity and family law cases
appointing advocates to act for the Crown
exercising the discretion to appoint 'advocates to the court' and 'special advocates' to represent the interests of litigants in cases involving sensitive material
referring any points of law to the Court of Appeal after an acquittal in criminal cases and
litigation and correspondence arising from the Attorney General's role.
Support to the Attorney and Solicitor General to superintend the work of the Directors of the Crown Prosecution Service (CPS), which from 1 January 2010 incorporated the Revenue and Customs Proseuctions Office (RCPO) and the Serious Fraud Office (SFO).
Support to the Attorney General to oversee the functions of the Services Prosecuting Authority; the work of the Treasury Solicitor's Department, HM Crown Prosecution Service Inspectorate and the Government Legal Service.",http://www.attorneygeneral.gov.uk/
Cabinet Office,Cabinet Office,Ministerial department,n/a,"The Cabinet Office sits at the very centre of government, with an overarching purpose of making government work better.

We support the Prime Minister and the Cabinet, helping to ensure effective development, coordination and implementation of policy and operations across all government departments.

We also lead work to ensure the Civil Service provides the most effective and efficient support to Government to help it meet its objectives.",http://www.cabinetoffice.gov.uk/
"Department for Business, Innovation and Skills",BIS,Ministerial department,n/a,"The Department for Business, Innovation and Skills (BIS) is making a difference by supporting sustained growth and higher skills across the economy. BIS: working together for growth
Growth is the Government's top priority and every part of Government is focused on it. But we need to grow differently.

Growth must be sustainable, shared and balanced - across the country and between sectors of the economy.

There is a clear and active role for Government to create the conditions for the private sector to grow and remove unnecessary barriers that can stifle growth.

And there is a strong role for BIS, as the Department for Growth, in enabling this.

Almost everything that BIS does - from investing in skills to making markets more dynamic and reducing regulation, and from promoting trade to boosting innovation and helping people start and grow a business - helps drive growth.

Creating the best conditions for private sector growth
We don't think Government has all the answers. That's why BIS and Treasury set up the Growth Review in November 2010.

The Growth Review invites business to take part in a fundamental assessment of what each part of Government is doing to create the best conditions for private sector growth. It is a rolling programme that will last the lifetime of this Parliament.

The outcomes of the initial phase of the Growth Review were announced in the Plan for Growth as part of Budget 2011.

The Plan for Growth is based around four overarching ambitions for the British economy. It outlines a package of measures to support private sector investment, enterprise and innovation.

The second phase of the Growth Review is now under way, focusing on six key themes to help create the right conditions for business to start up, invest, grow and create jobs.",http://www.bis.gov.uk/
Department for Communities and Local Government,DCLG,Ministerial department,n/a,"""Localism, localism, localism""

The Government is overseeing a fundamental shift of power away from Westminster to councils, communities and homes across the nation. A radical localist vision is turning Whitehall on its head by decentralising central government and giving power to the people.

At the Department for Communities and Local Government we are helping to end big government and create a free, fair and responsible Big Society by:

- decentralising power as far as possible
- meeting people's housing aspirations
- putting communities in charge of planning
- increasing accountability
- letting people see how their money is being spent.

The Department sets policy on supporting local government; communities and neighbourhoods; regeneration; housing; planning, building and the environment; and fire. The Department is ending the era of top-down government by giving new powers to councils, communities, neighbours and individuals.",http://www.communities.gov.uk/
"Department for Culture, Media and Sport",DCMS,Ministerial department,n/a,"We are the Department responsible for the 2012 Olympic Games and Paralympic Games, and we help drive the Digital Economy. Our aim is to improve the quality of life for all through cultural and sporting activities, to support the pursuit of excellence and to champion the tourism, creative and leisure industries.
We are responsible for Government policy on:
the arts
broadcasting
creative industries including:
advertising
the arts market
design
fashion
film
the music industry
publishing

historic environment
internet and international ICT policy
licensing and gambling
libraries
museums & galleries
the National Lottery
press freedom and regulation
sport
telecommunications and broadband
tourism
Our responsibilities also include listing of historic buildings, scheduling of ancient monuments, export licensing of cultural goods and management of the Government Art Collection. The Royal Parks Agency is an agency of DCMS.
We work jointly with the Department for Business, Innovation and Skills (BIS) on design issues, including sponsorship of the Design Council, and on relations with the computer games and publishing industries.",http://www.culture.gov.uk/
Department for Education,DFE,Ministerial department,n/a,The Department for Education was formed on 12 May 2010 and is responsible for education and children's services.,http://www.education.gov.uk/
"Department for Environment, Food and Rural Affairs",Defra,Ministerial department,n/a,"The Department for Environment, Food and Rural Affairs (Defra) is a government department in the UK.

We cover - we make policy and legislation, and work with others to deliver our policies in - areas such as:

- the natural environment, biodiversity, plants and animals
- sustainable development and the green economy
- food, farming and fisheries
- animal health and welfare
- environmental protection and pollution control
- rural communities and issues.

Although we only work directly in England, we work closely with the devolved administrations in Wales, Scotland and Northern Ireland, and we generally lead on negotiations in the EU and internationally.

The Government believes that we need to protect the environment for future generations, make our economy more environmentally sustainable, and improve our quality of life and well-being. We also believe that much more needs to be done to support the farming industry, protect biodiversity and encourage sustainable food production.",http://www.defra.gov.uk/
Department for International Development,DFID,Ministerial department,n/a,UK Government Department responsible for promoting development and the reduction of poverty.,http://www.dfid.gov.uk/
Department for Transport,DFT,Ministerial department,n/a,"Our vision is for a transport system that is an engine for economic growth, but one that is also greener and safer and improves quality of life in our communities.

The Department provides leadership across the transport sector to achieve its objectives, working with regional, local and private sector partners to deliver many of the services. This section contains information on the Department's aims and objectives, its organisational structure, and the responsibilities of the various affiliated agencies.",http://www.dft.gov.uk/
Department for Work and Pensions,DWP,Ministerial department,n/a,"The Department for Work and Pensions is responsible for welfare and pension policy and is a key player in tackling child poverty. It is the biggest public service delivery department in the UK and serves over 20 million customers.

DWP supports the government's commitment to being transparent about public finances.",http://www.dwp.gov.uk/
Department of Energy and Climate Change,DECC,Ministerial department,n/a,"DECC is a small department, with a big mission. Our vision is of a thriving, globally competitive, low carbon energy economy.
Our key priorities are to:
- Save energy with the Green Deal and support vulnerable consumers
- Deliver secure energy on the way to a low carbon energy future
- Drive ambitious action on climate change at home and abroad
- Manage our energy legacy responsibly and cost-effectively",http://www.decc.gov.uk/
Department of Health,DH,Ministerial department,n/a,"The Department of Health provides strategic leadership for public health, the NHS and social care in England.



The Department of Health's purpose is to improve England's health and well-being and in doing so achieve better health, better care, and better value for all.

Andrew Lansley, Secretary of State for Health, set out a new vision for health and social care focused around five key priorities:

A patient-led NHS
Delivering better health outcomes
A more autonomous and accountable system
Improved public health
Reforming long-term and social care
Our responsibilities
We have responsibility for standards of health care, including the NHS. We set the strategic framework for adult social care and influence local authority spend on social care. We also set the direction on promoting and protecting the public's health, taking the lead on issues such as environmental hazards to health, infectious diseases, health promotion and education, the safety of medicines, and ethical issues.

Supporting delivery
We are responsible for finding the best way to develop, support and mobilise the health and social care system to deliver improvements for patients and the public.

Our work in supporting delivery includes:

performance monitoring and evaluation
managerial and professional leadership for external groups
building capacity and capability
ensuring value for money
Leading health and well-being for Government
We lead the integration of health and well-being into wider Government policy, working with other sectors and systems with which we do not have a direct relationship, as well as integrating wider public policy into health and care services. We also take the lead internationally on some health issues for the UK.

Our work on leading health and well-being for Government includes:

working with the wider public sector, the third and private sectors on issues such as health protection or lifestyle choices, including integrating health and well-being with other Government agendas at regional level through our regional teams
working with international partners, including the European Union (EU), World Health Organization (WHO) and the Organisation for Economic Co-operation and Development (OECD)
Accounting to Parliament and the public
We are responsible for supporting ministers in accounting to the public and Parliament. Public trust in the democratic process and in information provided by the Government is very important and it is vital that ministers give accurate and truthful information to Parliament and to the public.

We are also responsible for looking after and allocating public money to the NHS and adult social care services. We have the responsibility to explain to the public how their money is being spent, and what is being achieved as a result.

Our work on accounting to Parliament and the public includes:

answering parliamentary questions - both written and oral and dealing with other Parliamentary business, debates and enquiries
responding to letters, emails, and phone calls from the public and members of Parliament
communicating to the public through the media and through visits and speeches",http://www.dh.gov.uk/
Foreign and Commonwealth Office,FCO,Ministerial department,n/a,"The Foreign and Commonwealth Office - 'the FCO' or 'the Foreign Office' for short - is the government department responsible for promoting British interests overseas and supporting our citizens and businesses around the globe.

In today's economic climate, international relations are more important than ever.

There are major changes under way in the world. For example, economic power is moving eastwards into Asia. The spread of democracy and the power of the internet are giving non-government groups and the individual new opportunities to contribute to decisions affecting them. And the need for global solutions to the great issues of our time, such as climate change, terrorism and social inequality, means that international institutions are more important than ever.

The UK is well placed to benefit from these changes. We are an influential member of key international organisations such as the United Nations, the European Union, NATO and the Commonwealth, and we have strong links with many parts of the world. Britain is emerging as a global hub for ideas and a primary force in the search for answers to global problems.

The FCO and its worldwide network of embassies and consulates is a unique national asset.

Our diplomats have world-class skills in understanding and influencing what is happening abroad, supporting our citizens who are travelling and living overseas, helping to manage migration into Britain, promoting British trade and other interests abroad and encouraging foreign investment in the UK.",http://www.fco.gov.uk/
Government Equalities Office,GEO,Ministerial department,n/a,"The Government Equalities Office (GEO) sits within the Home Office. We work across the whole of government.

About our work

We support the government's commitment to 'tear down barriers to social mobility and equal opportunities and help to build a fairer society' .

Equality strategy

The  Government Equalities Office (GEO) is responsible for the government's overall Equality Strategy, Building a Fairer Britain. This supports the coalition government's commitment to 'concerted government action to tear down barriers to social mobility and equal opportunities and help to build a fairer society'.

It aims to improve equality and reduce discrimination and disadvantage for all, at work, in public and political life, and in people's life chances.

Equality Act 2010

We lead on the Equality Act 2010. We take the lead in government in particular on issues relating to women and gender equality, sexual orientation and transgender equality matters.

International equality

We lead on:

the government's international obligations to implement the UN Convention on the Elimination of All Forms of Discrimination against Women (CEDAW)
the implementation of the Beijing Declaration and Platform for Action
the government's obligations to implement the European Union Roadmap for Equality between Women and Men
Corporate information

A summary of GEO's business plan for 2011-12 is published as part of the Home Office Business Plan.

We coordinate an Inter-Ministerial Group on Equalities whose role is to develop and oversee delivery of the Equality Strategy.

Our partners

We work across government but in particular we work closely with:

the Department for Communities and Local Government, who lead on integration, race and faith policy and the community agenda
the Department for Work and Pensions, who lead on disability discrimination policy and legislation and general age policy outside the workplace
the Department for Business, Innovation and Skills, who provide the broad policy framework for further and higher education and have responsibility for the Equality Act's provisions relating to  age exceptions to the Act's working provisions
the Department for Education, who are responsible for the Equality Act's provisions relating to schools and children
the Department for Transport, who are responsible for the Equality Act's provisions on disability and transport and in relation to ships and hovercraft
We also work closely with:

the Ministry of Justice, who lead on human rights policy
the devolved administrations in Wales, Scotland and Northern Ireland",http://homeoffice.gov.uk/equalities/
HM Treasury,Treasury,Ministerial department,n/a,Her Majesty's Treasury (commonly known as HM Treasury) is the United Kingdom's economics and finance ministry.,http://www.hm-treasury.gov.uk/
Home Office,Home Office,Ministerial department,n/a,"The Home Office is the lead government department for immigration and passports, drugs policy, crime, counter-terrorism and police.",http://www.homeoffice.gov.uk/
Ministry of Defence,MOD,Ministerial department,n/a,"The Ministry of Defence (MOD) is the United Kingdom government department responsible for implementation of government defence policy and is the headquarters of the British Armed Forces.
Its principal objectives are to defend the United Kingdom and its interests and to strengthen international peace and stability. The MOD does not foresee any short-term conventional military threat; rather, it has identified weapons of mass destruction, international terrorism, and failed and failing states as the overriding threats to the UK's interests. The MOD also manages day-to-day running of the armed forces, contingency planning and defence procurement.",http://www.mod.uk/
Ministry of Justice,MOJ,Ministerial department,n/a,"The Ministry of Justice is one of the largest government departments, employing around 76,000 people (including those in the Probation Service), with a budget of approximately £9 billion. Each year millions of people use our services across the UK - including at 500 courts and tribunals, and 133 prisons in England and Wales.

Our work spans criminal, civil and family justice, democracy and rights.

The Ministry of Justice works to protect the public and reduce reoffending, and to provide a more effective, transparent and responsive criminal justice system for victims and the public. We also provide fair and simple routes to civil and family justice.

The Ministry of Justice has responsibility for different parts of the justice system - the courts, prisons, probation services and attendance centres. We work in partnership with the other government departments and agencies to reform the criminal justice system, to serve the public and support the victims of crime.

We are also responsible for making new laws, strengthening democracy, and safeguarding human rights.",http://www.justice.gov.uk/
Northern Ireland Office,NIO,Ministerial department,n/a,"The Northern Ireland Office is responsible for overseeing the Northern Ireland devolution settlement and representing Northern Ireland interests at UK Government level and UK Government interests in Northern Ireland. The department also has responsibility for national security in respect of Northern Ireland as well as Human Rights, elections, legacy issues (including current ongoing public inquiries).

The Rt Hon Owen Paterson MP is the current Secretary of State. The Rt Hon Hugo Swire MP is Minister of State.

On the 12 April 2010, the NIO transferred responsibility for policing and criminal justice to the Northern Ireland Assembly andExecutive.

The Department will continue to work with the Northern Ireland political parties and with the Irish Government to support successful devolution in Northern Ireland and to work with key stakeholders to maintain a secure and safe environment and to ensure that policy development within the United Kingdom takes full account of circumstances in Northern Ireland.

The Northern Ireland Office has a staff complement of around 175, with offices in Belfast and London. The Crown Solicitors Office in Belfast, which provides legal services in Northern Ireland to all Whitehall departments and to other public bodies in Northern Ireland, is also part of the Northern Ireland Office.",http://www.nio.gov.uk/
Office of the Advocate General for Scotland,OAG,Ministerial department,n/a,"?Our priorities
1.Policy and Legislation: Ensure Scots law and the devolution settlement are taken into account in the development of UK Government policy and legislation.
2.Litigation: Secure effective representation of UK Government interests in Scottish litigation.
3.Support for Ministers: Assist UK Government Ministers in achieving their objectives in Scotland, in particular
the Advocate General for Scotland and the Secretary of State for Scotland. 4.Engagement: Develop strategic networks with other UK Departments. 5.Continuous Improvement: Ensure the office is increasingly efficient and effective.
Our organisation
All OAG staff share responsibility for the delivery of our priorities. We work flexibly and across teams, sharing knowledge and experience in order to provide the best possible legal services.
We are accountable to the Advocate General for Scotland, Lord Wallace of Tankerness QC.
The OAG Management team works with the Advocate General to set the direction of the organisation and to ensure the delivery of our purpose. It also has responsibility for effective management of staff, finance and risk. Its members are the Director of OAG, the Deputy Solicitor, the Legal Secretary and the heads of the three divisions.
Our approach
¥ Work with colleagues and stakeholders in a proactive and constructive manner, recognising the wider implications and potential risks of any action or advice.
¥ Think laterally to advise on solutions that may not be apparent and devise strategies for dealing with new challenges.
¥ Demonstrate an understanding of the political, UK and Scottish context within which we operate.
¥ Be flexible in our approach to best meet clients' needs.
¥ Act with integrity in all dealings with clients, stakeholders and each other, ensuring we treat all with respect and dignity and uphold the Civil Service Code.
",http://www.oag.gov.uk/
Office of the Leader of the House of Commons,Commons Leader Office,Ministerial department,n/a,"The Office of the Leader of the House of Commons is a United Kingdom government department. This relatively recently created office provides support for the Leader of the House of Commons in his or her duties to the House. It is based at 26 Whitehall, London SW1A 2WH and forms part of the Cabinet Office.",http://www.cabinetoffice.gov.uk/content/office-leader-house-commons-information
Office of the Leader of the House of Lords,Lords Leader Office,Ministerial department,n/a,"Office of the Leader of the House of Lords

Room 20
House of Lords
London SW1A 0AA

26 Whitehall
London SW1A 2WH

Tel: 020 7219 3200
Fax: 020 7219 3051
Email: psleaderofthelords@cabinet-office.x.gsi.gov.uk
Generic Email format: firstname.surname@cabinet-office.x.gsi.gov.uk

Parliamentary Branch:
Tel: 020 7276 0415
Fax: 020 7276 0514
Email: pqanswers@cabinet-office.x.gsi.gov.uk

Correspondence Section:

Inter-departmental Correspondence:
Parliamentary & Correspondence Team, Cabinet Office
Tel: 020 7276 0526
Email: pscorrespondence@cabinet-office.x.gsi.gov.uk

Treat Officials and General Correspondence:
Tel: 020 7219 8167
Email: psleaderofthelords@cabinet-office.x.gsi.gov.uk

Leader of the House of Lords and Chancellor of the Duchy of Lancaster
The Rt Hon Lord Strathclyde

Leads on:

Leading the Government front Bench in the House of Lords
Conduct of Government business in the Lords (jointly responsible with the Lords Chief Whip)
Repeating the Prime Minister's statements in the Lords and speaking in the House on particular important debates
Government spokesperson on Machinery of Government issues
Giving guidance to the House on matters of order and procedure
Taking part in formal ceremonies in the House, such as the State Opening of Parliament
Chair, Board of Trustees for Chequers and Dorneywood
As Chancellor of the Duchy of Lancaster, responsible to the Sovereign for the administration of the Duchy.
Private Office to The Rt Hon Lord Strathclyde
Telephone: 020 7219 3200
Fax: 020 7219 3051
Email: psleaderofthelords@cabinet-office.x.gsi.gov.uk
",http://www.cabinetoffice.gov.uk/content/office-leader-house-lords
Scotland Office,Scotland Office,Ministerial department,n/a,"The Scotland Office plays an essential role in managing day to day devolution issues between Westminster and Holyrood. The Secretary of State has recently described this work as 'oiling the wheels of devolution'. This is a process which requires close liaison across a wide range of Whitehall Departments to both promote and guard the devolution settlement, as well as regular engagement with key stakeholders in Scotland on a broad range of issues which are reserved to Westminster. A list of reserved and devolved matters can be found here.

The Scotland Office carries out an essential role on behalf of the people of Scotland in ensuring that when it comes to reserved matters - their voice is heard at the highest level in Whitehall.",http://www.scotlandoffice.gov.uk/
Wales Office,Wales Office,Ministerial department,n/a,"Established in 1999, the Wales Office supports the Secretary of State for Wales in ensuring the smooth working of the devolution settlement in Wales. It is Wales' voice in Westminster and Westminster's voice in Wales. The Wales Office is based in Gwydyr House, Whitehall, London and Discovery House, Cardiff Bay.",http://www.walesoffice.gov.uk/
Charity Commission for England and Wales,Charity Commission,Non-ministerial department,n/a,"The Charity Commission registers and regulates charities in England and Wales. We offer them advice and provide a wide range of services and guidance to help them run as effectively as possible. We also keep the online Register of Charities, which provides information about each of the thousands of registered charities in England and Wales.",http://www.charity-commission.gov.uk/
Crown Prosecution Service,CPS,Non-ministerial department,n/a,"The Crown Prosecution Service is the Government Department responsible for prosecuting criminal cases investigated by the police in England and Wales.

As the principal prosecuting authority in England and Wales, we are responsible for:

advising the police on cases for possible prosecution;
reviewing cases submitted by the police;
determining any charges in all but minor cases;
preparing cases for court;
presenting cases at court",http://www.cps.gov.uk/
Food Standards Agency,FSA,Non-ministerial department,n/a,"The Food Standards Agency is an independent Government department set up by an Act of Parliament in 2000 to protect the public's health and consumer interests in relation to food.

Everything we do reflects our vision of Safer food for the nation.",http://www.food.gov.uk/
Forestry Commission,FC,Non-ministerial department,n/a,"Manager - We plant 24 million trees every year, to create new woodland and to replace the trees we harvest. Some of these trees will help to regenerate blighted industrial landscapes such as former coalfield communities and to bring new woodlands closer to urban areas.

We sustainably harvest almost five million tonnes of wood every year from Britain's public forests. That's around 44 per cent of total domestic production or 300 truckloads every day. This reduces our dependency on imported wood and provides low-carbon materials for the domestic wood-using industries, and wood for fuel and energy. The income from timber provides us with income to help offset the costs of managing the forests in our care.

As Britain's largest land manager we look after nearly a million hectares of land including some of our best loved and most spectacular landscapes. Two-thirds of the estate lies within National Parks, Areas of Outstanding Natural Beauty or Sites of Special Scientific Interest.

Protector - The threat to Britain's trees from pests and disease has never been greater. We face losing much-loved species such as oak and horse chestnut. The problem is exacerbated by greater movement of infested or disease-carrying imports and improved conditions due to climate change. Our plant health officers inspect wood imports at ports around the country to minimise the risk from foreign pests and diseases. Where outbreaks do occur our experts work with local authorities and landowners to contain and control any spread. We licence tree felling across Great Britain to protect our woodlands for generations to come.

Enabler and supporter - We provide grants, licences and advice to private woodland owners to encourage new tree planting and to help keep private forests and woodland under active and sustainable management. We also work in partnership with a wide range of public bodies, NGOs, small businesses and communities to respond to national, regional and local needs.

Conservationist - We protect species, improve habitats and protect historical sites. As climate change becomes more complex and challenging we face losing some of our native species. We are leading moves to nurture and protect rare and endangered species such as the red squirrel, the dormouse and the pearl-bordered fritillary butterfly.
We safeguard the national tree collections at Westonbirt, Bedgebury and Kilmun. These conserve more than 4000 different taxa - making it one of the most comprehensive tree collection in the world - and form just one of the ways that we are increasing the world's natural resilience for the future.

Restorer - We take degraded land no one else wants and turn it into green space for the benefit of all. Our pioneering research and on-the-ground experience has proved we can successfully, and economically, transform brownfield sites such as old collieries and factories into usable greenspace. This improves the environment, people's health and the local economy by restoring places that people want to work rest and play in.

Leisure and recreation provider - More people in Britain visit a forest than do the seaside. We offer visitors many thousands of waymarked walks and trails, cycle routes and bridle paths, open every day and free of charge. We have more than 150 easy access trails for people with physical difficulties. In many places, the Forestry Commission provides the only local opportunity for quiet and accessible recreation. The millions of visitors contribute some £2 billion annually to the economy, mostly into rural areas.

Our network of visitor centres throughout England, Scotland and Wales provides a unique opportunity to engage with the public. They are an ideal platform to talk to people about climate change, helping them to understand the issues, see directly how climate change is affecting our trees and woods today, what we need to do to help them adapt, and what actions individuals and families can take to make a difference.

How we work
Having a 'can do' approach - The combination of our 'hands on' experience of sustainable land management, a strong commercial drive, and a foundation of robust scientific knowledge make us unique within Government. It means that we can develop and deliver policy that works on the ground.

Taking a long-term view - Forestry is a long-term business. From planting to harvesting a tree for timber takes a minimum of 40 to 50 years - around the same time-scale climate experts have given society to make the changes necessary to avoid runaway climate change. Our foresters must be just as skilled in planning for the longer term as they are for the short one. We must ensure that our forests are adapted to, and can withstand, our changing climate. If Greenhouse gas emissions do not decline, we must consider introducing new species to ensure our forests survive.  In reaching workable solutions we can pull on our substantial research knowledge whilst accepting the need to adapt as knowledge grows.

Putting sustainability first - Sustainability is at the heart of everything we do. We set the standards for the sustainable management of the UK's forests, based on internationally recognised science and best practice.  Britain was the first country in the world to have all its public forests independently certified as being sustainably managed.  We are also committed to implementing ISO14001 Environmental Management System in all parts of our business.

  Applying sound science - We have world-class scientists and researchers working to understand the science behind the big issues and provide the evidence we need to underpin policy and delivery. As climate change begins to bite, this resource becomes ever more important. Last year we produced the Read report - a ground-breaking study by an independent panel of experts, looking at the role of forests and climate change: what needs to be done; what knowledge we have to do it; and what we still need to learn. This assessment is a world-first and it is already starting to change policy, form new ideas, and raise awareness of the opportunities offered by our trees and forests.

Doing more with less - Knowing how best to manage our forests and woodland to maximum benefit doesn't mean we do it all ourselves. 70 per cent of all the operational work in our forests is done by contractors with continuous market testing. This supports SMEs and the wider industry and drives efficiency and competition.
We have always worked with centralised specialist and back office functions and we have a programme of reviewing and bench-marking these to ensure we are getting value for money.
We expect our managers at all levels to be fully accountable for their business plans and to seek efficiencies to deliver programmes of a high standard for the minimum cost.

At a glance
Reporting
The Forestry Commission is a non-Ministerial Department and a cross-border authority.

The Secretary of State for the Environment, Food and Rural Affairs is responsible for forestry in England and owns the public forest estate. The Secretary of State is also responsible for GB issues such as international affairs, plant health and research, which are funded by Westminster.

The Scottish Government has responsibility for forestry in Scotland and the Welsh Assembly Government has responsibility for forestry in Wales. The Forestry Commission reports directly to the appropriate Minister in each country.

Structure
We have a Board of Commissioners with duties and powers prescribed by statute. It consists of a Chair, Pam Warhurst, five non-executive and fourExecutive Commissioners, including its Director General, Tim Rollinson.  Forestry Commissioners are appointed by the Queen on the recommendation of Ministers.

Our devolved structure allows us to focus on delivering the policies of the individual Governments while still having the ability to take a GB-wide approach to cross-border issues.

The work of the Forestry Commission in each country is overseen by a National Committee comprising non-executive andExecutive members.

We have a GB-wide research agency, Forest Research, to inform the development of forestry policies and practices, and promote high standards of sustainable forest management.

Efficiency
'Back office' functions including finance, human resources and information technology are centralised at our offices in Edinburgh. Operational functions such as civil, mechanical and electrical engineering and plant and seed supply are also centralised.

Staff numbers
We employ 3,240 people (FTE), almost 70 per cent of whom work in managing the public forests.",http://www.forestry.gov.uk/
Government Actuary's Department,GAD,Non-ministerial department,n/a,GAD provides actuarial analysis to the public sector from the public sector. Our aim is to be a highly valued principal provider of actuarial analysis and advice to all parts of the UK Government and other relevant UK and overseas public bodies.,http://www.gad.gov.uk/
HM Land Registry,Land Registry,Non-ministerial department,n/a,"What we do
register title to land in England and Wales
record dealings (for example, sales and mortgages) with registered land.
Our principal aims:
maintain and develop a stable, effective land registration system
guarantee title to registered estates and interests in land
enable confident dealings in property and security of title by providing ready access to up-to-date and guaranteed land information
match our ever more ambitious performance targets",http://www.landreg.gov.uk/
HM Revenue & Customs,HMRC,Non-ministerial department,n/a,"HM Revenue & Customs (HMRC) was formed on the 18 April 2005, following the merger of Inland Revenue and HM Customs and Excise Departments. Work is still continuing on our office restructuring programme. We are here to ensure the correct tax is paid at the right time, whether this relates to payment of taxes received by the department or entitlement to benefits paid.

We collect and administer:

Direct taxes - paid by you or your business on money you earn or capital you gain.

Capital Gains Tax.
Corporation Tax.
Income Tax.
Inheritance Tax.
National Insurance Contributions.
Indirect taxes - paid by you or your business on money spent on goods or services.

Excise duties.
Insurance Premium Tax.
Petroleum Revenue Tax.
Stamp Duty.
Stamp Duty Land Tax.
Stamp Duty Reserve Tax.
VAT.
We pay and administer:

Child Benefit
Child Trust Fund
Tax Credits.
We protect you by enforcing and administering:

Border and frontier protection
Environmental taxes
National Minimum Wage enforcement
Recovery of student loans.
We are the parent department to the Valuation Office Agency (VOA) and its commercial arm - District Valuer Services (DVS).",http://www.hmrc.gov.uk/
"Office for Standards in Education, Children’s Services and Skills",Ofsted,Non-ministerial department,n/a,"Ofsted is the Office for Standards in Education, Children's Services and Skills. We report directly to Parliament and we are independent and impartial. We inspect and regulate services which care for children and young people, and those providing education and skills for learners of all ages.

Every week, we carry out hundreds of inspections and regulatory visits throughout England, and publish the results on our website. To find an inspection report, go to the Find an inspection report page.

The aim of all this work is to promote improvement and value for money in the services we inspect and regulate, so that children and young people, parents and carers, adult learners and employers benefit.",http://www.ofsted.gov.uk/
Office of Fair Trading,OFT,Non-ministerial department,n/a,"The OFT's mission is to make markets work well for consumers. Markets work well when businesses are in open, fair and vigorous competition with each other for the consumer's custom. Our job is to make sure that consumers have as much choice as possible across all the different sectors of the marketplace. When consumers have choice they have genuine and enduring power.

We pursue this goal by:

encouraging businesses to comply with competition and consumer law and to improve their trading practices through self-regulation
acting decisively to stop hardcore or flagrant offenders
studying markets and recommending action where required
empowering consumers with the knowledge and skills to make informed choices and get the best value from markets, and helping them resolve problems with suppliers through Consumer Direct.
As an independent professional organisation, the OFT plays a leading role in promoting and protecting consumer interests throughout the UK, while ensuring that businesses are fair and competitive. Our tools to carry out this work are the powers granted to the OFT under consumer and competition legislation.",http://www.oft.gov.uk/
