# Name,Description,Type,Status,Logo formatted name,Slug
"Northern Ireland Council for the Curriculum, Examinations and Assessment","The Council for the Curriculum, Examinations and Assessment (CCEA) was established on 1 April 1994 and is a non-departmental public body reporting to the Department of Education in Northern Ireland. ",other,Closed,"Northern Ireland Council for the Curriculum, Examinations and Assessment",northern-ireland-council-for-the-curriculum-examinations-and-assessment
Northern Ireland Court Service,The Northern Ireland Courts and Tribunals Service (NICTS) is an Agency within the Department of Justice (DOJ) sponsored by the Access to Justice Directorate.,executive_agency,Closed,Northern Ireland Court Service,northern-ireland-court-service
Northern Ireland Health and Social Services Estates Agency,Health and Social Care in Northern Ireland (or HSC) is the designation of the publicly funded service responsible for the administration of the public health and other social care services in Northern Ireland. ,executive_agency,Closed,Northern Ireland Health and Social Services Estates Agency,northern-ireland-health-and-social-services-estates-agency
Northern Ireland Judicial Appointments Commission,Northern Ireland Judicial Appointments Commission is an independent public body established to bring about a new system for appointing members of the judiciary in Northern Ireland.,other,Closed,Northern Ireland Judicial Appointments Commission,northern-ireland-judicial-appointments-commission
Northern Ireland Judicial Appointments Ombudsman,"Northern Ireland Judicial Appointments Ombudsman (the Ombudsman)  investigates complaints from applicants for judicial appointment where maladministration by the Northern Ireland Judicial Appointments Commission (the Commission), Committees of the Commission, or by the Lord Chancellor in respect of his role in making recommendations for appointment, is alleged.",other,Closed,Northern Ireland Judicial Appointments Ombudsman,northern-ireland-judicial-appointments-ombudsman
Northern Ireland Law Commission,The Northern Ireland Law Commission is required to keep the law of Northern Ireland under review and to pursue its systematic development and reform.,other,Closed,Northern Ireland Law Commission,northern-ireland-law-commission
Northern Ireland Legal Services Commission,Northern Ireland Legal Services Commission promote fair and equal access to justice in Northern Ireland in its provision of publicly funded legal services.,other,Closed,Northern Ireland Legal Services Commission,northern-ireland-legal-services-commission
Northern Ireland Local Government Officers' Superannuation Committee,"Northern Ireland Local Government Officers' Superannuation Committee (NILGOSC), which administers the pension scheme for local councils and other similar public sector bodies in Northern Ireland.",other,Closed,Northern Ireland Local Government Officers' Superannuation Committee,northern-ireland-local-government-officers-superannuation-committee
Northern Ireland Ombudsman,"The Northern Ireland Ombudsman combines two public offices, the Assembly Ombudsman for Northern Ireland and the Northern Ireland Commissioner for Complaints.",other,Closed,Northern Ireland Ombudsman,northern-ireland-ombudsman
Northern Ireland Police Fund,"Northern Ireland Police Fund role extends widely to cover all aspects of the care of Police officers in Northern Ireland, and their families, who have been directly affected by terrorist violence.",other,Closed,Northern Ireland Police Fund,northern-ireland-police-fund
Northern Ireland Policing Board,"The Northern Ireland Policing Board is the police authority for Northern Ireland, charged with supervising the activities of the Police Service of Northern Ireland (PSNI).",other,Closed,Northern Ireland Policing Board,northern-ireland-policing-board
Northern Ireland Practice and Education Council,"The Northern Ireland Practice and Education Council (NIPEC) aims to improve the quality of health and care by supporting the practice, education and performance of nurses and midwives.",other,Closed,Northern Ireland Practice and Education Council,northern-ireland-practice-and-education-council
Northern Ireland Prison Service,"The Northern Ireland Prison Service is an executive agency of the Department of Justice, the headquarters of which are in Dundonald House in the Stormont Estate in Belfast.",executive_agency,Closed,Northern Ireland Prison Service,northern-ireland-prison-service
Northern Ireland Social Care Council,The General Social Care Council (GSCC) was a non-departmental public body of the Department of Health in the United Kingdom which was the regulator of social workers and social work students in England between 2001 and 2012.,other,Closed,Northern Ireland Social Care Council,northern-ireland-social-care-council
Northern Ireland Social Security Agency,"The Social Security Agency is a government agency in Northern Ireland. It is a department within the Department for Social Development (DSD), dealing with social security.",executive_agency,Closed,Northern Ireland Social Security Agency,northern-ireland-social-security-agency
Northern Ireland Statistics and Research Agency,The Northern Ireland Statistics and Research Agency (NISRA) is an executive agency within the Department of Finance and Personnel in Northern Ireland. ,executive_agency,Closed,Northern Ireland Statistics and Research Agency,northern-ireland-statistics-and-research-agency
Northern Ireland Tourist Board,The Northern Ireland Tourist Board is a non-departmental public body of the Department of Enterprise Trade and Investment. Its primary objective is to promote Northern Ireland as a tourist destination.,other,Closed,Northern Ireland Tourist Board,northern-ireland-tourist-board
Northern Ireland: Department of Finance and Personnel,Department of Finance and Personnel (DFP) is a devolved Northern Ireland government department in the Northern Ireland Executive. The minister with overall responsibility for the department is the Minister for Finance and Personnel.,ministerial_department,Closed,Northern Ireland. Department of Finance and Personnel,northern-ireland-department-of-finance-and-personnel
Northern Ireland: Environment and Heritage Service,The Environment and Heritage Service is the government agency that advises on and promotes the conservation of Northern Ireland's wildlife and natural features.,executive_agency,Closed,Northern Ireland. Environment and Heritage Service,northern-ireland-environment-and-heritage-service
Northern Ireland: Office of the Assembly Ombudsman for Northern Ireland and Northern Ireland Commissioner for Complaints,The Ombudsman deals with complaints from people who believe they have suffered injustice as a result of poor administration or the wrong applications of rules by government departments and public bodies in Northern Ireland. ,other,Closed,Northern Ireland. Office of the Assembly Ombudsman for Northern Ireland and Northern Ireland Commissioner for Complaints,northern-ireland-office-of-the-assembly-ombudsman-for-northern-ireland-and-northern-ireland-commissioner-for-complaints
Northwest Business Link,"Business Link Northwest is an easy to use business support, advice and information service funded by government and managed by the Northwest Regional Development Agency. ",executive_agency,Closed,Northwest Business Link,northwest-business-link
Northwest Regional Development Agency,The Northwest Regional Development Agency (NWDA) was the regional development agency for the North West England region and was a non-departmental public body.,executive_agency,Closed,Northwest Regional Development Agency,northwest-regional-development-agency
Nursing and Midwifery Council,"The Council is the registrar for nurses and midwives. It is responsible for setting the standards for education, training and conduct for nurses and midwives and for investigating complaints made against them.",other,Closed,Nursing and Midwifery Council,nursing-and-midwifery-council
Office for Criminal Justice Reform,The Office for Criminal Justice Reform is the government body that supports criminal justice agencies in working together to provide an improved service to the public.,other,Closed,Office for Criminal Justice Reform,office-for-criminal-justice-reform
Office for Legal Complaints,"The Office for Legal Complaints (OLC) is the Board of the Legal Ombudsman, responsible for ensuring that there is an independent Ombudsman service to consider complaints about legal services provided in England and Wales.",other,Closed,Office for Legal Complaints,office-for-legal-complaints
Office for Tenants and Social Landlords,"The Tenant Services Authority (TSA) was the operating name of the Office for Tenants and Social Landlords, the former regulatory agency of registered providers of social housing in England. TSA's responsibilities passed to the Homes and Communities Agency in 2012.",executive_agency,Closed,Office for Tenants and Social Landlords,office-for-tenants-and-social-landlords
Office of Telecommunications,The Office of Telecommunications (Oftel) was  responsible for promoting competition and maintaining the interests of consumers in the UK telecommunications market. It was merged with the Office of Communications in 2003.,other,Closed,Office of Telecommunications,office-of-telecommunications
Office of the Chief Electoral Officer for Northern Ireland,The Chief Electoral Officer manages elections and compiles the Register of Electors in Northern Ireland. He is independent of government and is assisted by the staff of the Electoral Office for Northern Ireland.,other,Closed,Office of the Chief Electoral Officer for Northern Ireland,office-of-the-chief-electoral-officer-for-northern-ireland
Office of the Chief Inspector of Criminal Justice in Northern Ireland,CJI is an independent statutory inspectorate with responsibility for inspecting all aspects of the criminal justice system in Northern Ireland apart from the judiciary.  It also inspects a number of other agencies and organisations that link into the criminal justice system.,other,Closed,Office of the Chief Inspector of Criminal Justice in Northern Ireland,office-of-the-chief-inspector-of-criminal-justice-in-northern-ireland
Office of the Commissioner for Protection Against Unlawful Industrial Action,"The Commissioner had the power to grant assistance to an individual who was an actual or prospective party to certain proceedings. Those proceedings were where an individual claimed that a trade union had done, or was likely to do, an unlawful act, and an effect of that act was to prevent or delay the supply of goods and services, or to reduce the quality of goods and services supplied to that individual, because of industrial action unlawfully organised by a trade union. The Commissioner was independent and could not be directed by a Minister of the Crown to assist, or not to assist, any particular application. The role of the Commissioner was abolished in 1999.",other,Closed,Office of the Commissioner for Protection Against Unlawful Industrial Action,office-of-the-commissioner-for-protection-against-unlawful-industrial-action
Office of the Commissioner for the Rights of Trade Union Members,Office of the Commissioner for the Rights of Trade Union Members was established to assist trade union members in taking certain specified types of legal action against their trade unions (not against employers).,other,Closed,Office of the Commissioner for the Rights of Trade Union Members,office-of-the-commissioner-for-the-rights-of-trade-union-members
Office of the Data Protection Registrar,The Data Protection Registrar is now the Information Commissioner.,other,Closed,Office of the Data Protection Registrar,office-of-the-data-protection-registrar
Office of the First Minister and Deputy First Minister,"The overall aim of the Office of the First Minister and deputy First Minister (OFMDFM) is to contribute to and oversee the co-ordination of Executive policies and programmes to deliver a peaceful, fair, equal and prosperous society. ",other,Closed,Office of the First Minister and Deputy First Minister,office-of-the-first-minister-and-deputy-first-minister
Office of the Health Professions Adjudicator,OHPA was originally set up to take over Fitness to Practice hearings from the General Medical Council from 1 April 2011 and those from the General Optical Council at a later date. However it was closed before it became operational. It was abolished in 2012.,other,Closed,Office of the Health Professions Adjudicator,office-of-the-health-professions-adjudicator
Office of the Health Service Commissioner,The role of the Health Service Commissioner was established in 1993 to investigate complaints against NHS bodies. The role is combined with that of the Parliamentary Ombudsman.,other,Closed,Office of the Health Service Commissioner,office-of-the-health-service-commissioner
Office of the Legal Services Complaints Commissioner,"The Office of the Legal Services Complaints Commissioner worked with the Law Society, on behalf of consumers, to improve the way it handles complaints about solicitors in England and Wales.",other,Closed,Office of the Legal Services Complaints Commissioner,office-of-the-legal-services-complaints-commissioner
Office of the Legal Services Ombudsman,OLSO was responsible for investigating complaints against lawyers. The Office was abolished in 2011 with responsibilities passing to the Legal Ombudsman and Office for legal Complaints.,other,Closed,Office of the Legal Services Ombudsman,office-of-the-legal-services-ombudsman
Office of the Oversight Commissioner,The Office was established to ensure that recommendations for the reform of policing in Northern Ireland were implemented.,other,Closed,Office of the Oversight Commissioner,office-of-the-oversight-commissioner
Office of the Parliamentary Commissioner for Administration,The role of the Parliamentary Commissioner for Administration was established in 1967 to investigate complaints against government organisations. The role is combined with that of the Health Service Commissioner.,other,Closed,Office of the Parliamentary Commissioner for Administration,office-of-the-parliamentary-commissioner-for-administration
Office of the Police Ombudsman for Northern Ireland,"The Ombudsman provides an independent, impartial police complaints system for Northern Ireland.",other,Closed,Office of the Police Ombudsman for Northern Ireland,office-of-the-police-ombudsman-for-northern-ireland
Oftel,The Office of Telecommunications (Oftel) was  responsible for promoting competition and maintaining the interests of consumers in the UK telecommunications market. It was merged with the Office of Communications in 2003.,other,Closed,Oftel,oftel
OGCbuyingsolutions,OGCbuyingsolutions is now part of the Government Procurement Service,other,Closed,OGCbuyingsolutions,ogcbuyingsolutions
One North East,One North East was the regional development agency for the north east of England. It was abolished in 2012.,executive_agency,Closed,One North East,one-north-east
Ordnance Survey of Northern Ireland,OSNI is the government mapping agency for Northern Ireland. It is a part of Land and Property Services agency. ,executive_agency,Closed,Ordnance Survey of Northern Ireland,ordnance-survey-of-northern-ireland
Parliamentary Contributory Pension Fund,"The Parliamentary Contributory Pension Fund (the Fund) is a funded, defined benefit pension scheme, where Members and the Exchequer share the costs. The Fund is made up of two schemes _Ñ_ an MPs' Pension Scheme and a Ministers' Pension Scheme. The main difference between the two is that the MPs' scheme provides pension benefits based on final salary, whereas the Ministers' scheme provides benefits based on career average salary. ",other,Closed,Parliamentary Contributory Pension Fund,parliamentary-contributory-pension-fund
Parole Commissioners for Northern Ireland,"The Parole Commissioners are an independent body who make decisions on the release and recall of all life sentence and public protection sentence prisoners in Northern Ireland. They also make decisions on the recall and further release of determinate custodial sentenced prisoners. The Parole Commissioners replace the Life Sentence Review Commissioners, the previous body that existed for that purpose.",other,Closed,Parole Commissioners for Northern Ireland,parole-commissioners-for-northern-ireland
Particle Physics and Astronomy Research Council,"The Council was responsible for directing, co-ordinating and funding research into particle physics. In April 2007, it merged with the Council for the Central Laboratory of the Research Councils (CCLRC) and the nuclear physics portion of the EPSRC to form the new Science and Technology Facilities Council (STFC).",other,Closed,Particle Physics and Astronomy Research Council,particle-physics-and-astronomy-research-council
Pension Service,"The Pension Service was merged with the Disability and Carers Service in 2008, to create the Pension, Disability and Carers Service",other,Closed,Pension Service,pension-service
"Pension, Disability and Carers Service","The Pension, Disability and Carers Service was an executive agency of DWP until 2011.",executive_agency,Closed,"Pension, Disability and Carers Service",pension-disability-and-carers-service
"People, Pay and Pensions Agency","The People, Pay and Pensions Agency was an executive agency of the MOD but is now part of Defence Business Services",executive_agency,Closed,"People, Pay and Pensions Agency",people-pay-and-pensions-agency
Personal Accounts Delivery Authority,Personal Accounts Delivery Authority was established as a non-departmental public body by the Pensions Act 2007. Its initial purpose was to provide advice and make recommendations to Government on the personal accounts policy.,other,Closed,Personal Accounts Delivery Authority,personal-accounts-delivery-authority
Pesticides Safety Directorate,PSD was responsible for the regulation of plant protection products. In 2008 it merged with the Health and Safety Executive.,other,Closed,Pesticides Safety Directorate,pesticides-safety-directorate
Peterlee Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Peterlee Education Action Zone,peterlee-education-action-zone
Phoenix Sports,Phoenix Sports is responsible for overseeing the operation and strategic direction of the English Institute of Sport Centre in Sheffield.,other,Closed,Phoenix Sports,phoenix-sports
Planning Service,The Planning Service is part of the Department of the Environment and is responsible for land development and use in Northern Ireland,other,Closed,Planning Service,planning-service
Plymouth Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Plymouth Education Action Zone,plymouth-education-action-zone
Police Complaints Authority,The Authority was responsible for investigating complaints made by members of the public in England and Wales against the police. It was superseded by the Independent Police Complaints Commission in 2004.,other,Closed,Police Complaints Authority,police-complaints-authority
Police Information Technology Organisation,PITO was responsible for identifying and developing the use of ICT among police forces. It was abolished in 2007 with responsibilities passing the the National Policing Improvement Agency.,executive_agency,Closed,Police Information Technology Organisation,police-information-technology-organisation
Police Service of Northern Ireland,The PSNI is responsible for the prevention and investigation of crime in Northern Ireland,other,Closed,Police Service of Northern Ireland,police-service-of-northern-ireland
Postal Services Commission,The Postal Services Commission (Postcomm) was the regulator of mail industry. Its responsibilities passed to Ofcom in 2011.,other,Closed,Postal Services Commission,postal-services-commission
Postgraduate Medical Education and Training Board,The Board was responsible for the standards of postgraduate education for doctors. It was merged with the General Medical Council in 2010.,other,Closed,Postgraduate Medical Education and Training Board,postgraduate-medical-education-and-training-board
Prescription Pricing Authority,"The main functions of the Authority were to to calculate and make payments for amounts due to pharmacists and appliance contractors, and calculate amounts due to general practitioners, for supplying drugs and appliances prescribed under the NHS. The Authority was abolished in 2006 with functions transferring to the NHS Business Services Authority.",other,Closed,Prescription Pricing Authority,prescription-pricing-authority
Probation Board for Northern Ireland,PBNI is responsible for assessing and supervising of offenders in Northern Ireland.,other,Closed,Probation Board for Northern Ireland,probation-board-for-northern-ireland
Professional Oversight Board,The Professional Oversight Board was set up in 2004 as part of the reformed Financial Reporting Council (FRC). ,other,Closed,Professional Oversight Board,professional-oversight-board
Public Accounts Commission,"The role of the Public Accounts Commission is defined by the National Audit Act 1983 and the Budget Responsibility and National Audit Act 2011. The Commission's principal duties under the Acts are to examine the National Audit Office Estimate and lay it before the House, to consider reports from the appointed auditor of the National Audit Office, to appoint non-executive members of the National Audit Office Board, and to report from time to time.",other,Closed,Public Accounts Commission,public-accounts-commission
Public Health Laboratory Service Board,"The functions of the Board were taken over by the Health Protection Agency in 2003, which itself became part of Public Health England in 2013.",executive_agency,Closed,Public Health Laboratory Service Board,public-health-laboratory-service-board
Public Prosecution Service for Northern Ireland,"The PPS is the principal prosecuting authority in Northern Ireland. In addition to taking decisions as to prosecution in cases investigated by the police in Northern Ireland, it also considers cases investigated by other statutory authorities, such as HM Revenue and Customs. ",other,Closed,Public Prosecution Service for Northern Ireland,public-prosecution-service-for-northern-ireland
Public Services Ombudsman for Wales,"The Public Services Ombudsman for Wales brings together the jurisdictions of various offices he replaced, namely the Local Government Ombudsman for Wales, the Health Service Ombudsman for Wales, the Welsh Administration Ombudsman and the Social Housing Ombudsman for Wales.",other,Closed,Public Services Ombudsman for Wales,public-services-ombudsman-for-wales
Public Works Loan Board,The Board was established to provide public bodies with loans from the National Loans Fund. It is a part of the Debt Management Office.,other,Closed,Public Works Loan Board,public-works-loan-board
Qualifications and Curriculum Authority,"The role of QCA is to advance education and training in England, particularly with a view to promoting quality and coherence.",other,Closed,Qualifications and Curriculum Authority,qualifications-and-curriculum-authority
Qualifications and Curriculum Development Agency,"The QCDA was responsible for developing the National Curriculum, improving and delivering assessments, and to review and reform qualifications. It was abolished in 2012 with functions being split between the Teaching Agency and the Standards and Testing Agency.",executive_agency,Closed,Qualifications and Curriculum Development Agency,qualifications-and-curriculum-development-agency
Redfern Inquiry,The inquiry was established to investigate the circumstances surrounding the removal and radiochemical analysis of organs from former nuclear workers between 1961 and 1992.,other,Closed,Redfern Inquiry,redfern-inquiry
Renewable Fuels Agency,The RFA was established under the Renewable Transport Fuels Obligation Order 2007 to oversee the amount of renewable fuels supplied for use in road transport. The functions of the RFA were taken over by the Department for Transport in 2011.,executive_agency,Closed,Renewable Fuels Agency,renewable-fuels-agency
Rent Service,The Rent Service was responsible for providing rental valuation services for the private rented housing sector for housing benefit services. Its functions were taken over by the Valuation Office Agency in 2009.,executive_agency,Closed,Rent Service,rent-service
Revenue and Customs Prosecutions Office,"The Revenue and Customs Prosecution Office (RCPO) was a non-departmental public body created under the Commissioners for Revenue and Customs Act 2005 as an independent prosecution body to take responsibility in England, Wales and Northern Ireland for the prosecution of criminal offences in cases previously within the purview of the Inland Revenue and HM Customs and Excise (HMCE). ",other,Closed,Revenue and Customs Prosecutions Office,revenue-and-customs-prosecutions-office
Review Body for Nursing and Other Health Professions,"The Review Body for Nursing and Other Health Professions (NOHPRB) is independent. Its role is to make recommendations to the Prime Minister, the Secretary of State for Health, the First Minister and the Minister for Health and Community Care of the Scottish Parliament and the First Minister and the Minister for Health and Social Services of the National Assembly for Wales on the remuneration of the staff groups.",other,Closed,Review Body for Nursing and Other Health Professions,review-body-for-nursing-and-other-health-professions
Rivers Agency,The Rivers Agency is an Executive Agency of the Department of Agriculture and Rural Development. It is the statutory drainage and flood defence authority for Northern Ireland. ,executive_agency,Closed,Rivers Agency,rivers-agency
Roads Service,The Roads Service was responsible for the management of roads in Northern Ireland. It is now a part of Transport NI.,other,Closed,Roads Service,roads-service
Rosemary Nelson Inquiry,The inquiry was established to investigate the circumstances surrounding the murder of Rosemary Nelson in 1999.,other,Closed,Rosemary Nelson Inquiry,rosemary-nelson-inquiry
Royal Commission on Criminal Justice,"The Royal Commission on Criminal Justice, also known as the Runciman Commission, was established in London on 14 March 1991 by the Home Secretary for the purpose of examining the English system of criminal justice and make recommendations as to changes that should be made increase the efficiency of the system and the effective justice inherent in the process.",other,Closed,Royal Commission on Criminal Justice,royal-commission-on-criminal-justice
Royal Commission on Environmental Pollution,"The Royal Commission on Environmental Pollution in the United Kingdom was created under Royal Warrant in 1970 to advise the Queen, Government, Parliament and the public on environmental issues.",other,Closed,Royal Commission on Environmental Pollution,royal-commission-on-environmental-pollution
Royal Trustees' Office,"The Royal Trustees were responsible for reviewing and reporting on Civil List expenditure. As of 2012, funding for the monarch comes from the Sovereign Grant. The Grant is now subject to audit and review by the Auditor and Comptroller General.",other,Closed,Royal Trustees' Office,royal-trustees-office
School Food Trust,The Trust was the advisor to government on school meals and children's food. It became an independent body in 2011 and was renamed the Children's Food Trust.,other,Closed,School Food Trust,school-food-trust
Scottish Arts Council,"The Scottish Arts Council is the lead body for the funding, development and advocacy of the arts in Scotland",other,Closed,Scottish Arts Council,scottish-arts-council
Scottish Law Commission,"The Scottish Commission's task is law reform: to recommend ways of simplifying, updating and improving the law of Scotland.",other,Closed,Scottish Law Commission,scottish-law-commission
Scottish Office,"The Scottish Office was a department of the United Kingdom Government from 1885 until 1999, exercising a wide range of government functions in relation to Scotland under the control of the Secretary of State for Scotland.",ministerial_department,Closed,Scottish Office,scottish-office
"Scottish Office, Home and Health Department","The Scottish Office was a department of the United Kingdom Government from 1885 until 1999, exercising a wide range of government functions in relation to Scotland under the control of the Secretary of State for Scotland.",ministerial_department,Closed,"Scottish Office, Home and Health Department",scottish-office-home-and-health-department
Scottish Screen,Scottish Screen was formed in 1997 and is the National Body responsible for distribution of public funds towards the support of the development of a sustainable screen industry in Scotland and to support Scotland's screen culture. Its responsibilities were taken over by Creative Scotland in 2010.,other,Closed,Scottish Screen,scottish-screen
Scottish Sports Council,Scottish Sports Council (now Sportscotland) is the national agency for sport in Scotland. Their stated aim is to help everyone in Scotland enjoy sport's many benefits.,executive_agency,Closed,Scottish Sports Council,scottish-sports-council
Sentence Review Commissioners,The Sentence Review Commissioners in Northern Ireland has been appointed to oversee and regulate the early release of certain prisoners convicted during the period of civil unrest.,other,Closed,Sentence Review Commissioners,sentence-review-commissioners
Shipman Inquiry,The Shipman Inquiry was the report produced by a British governmental investigation into the activities of general practitioner and serial killer Harold Shipman,other,Closed,Shipman Inquiry,shipman-inquiry
SITPRO,SITPRO Limited was a UK non-departmental public body that was constituted as a limited company and was focused on the removal of barriers to international trade through the simplification and harmonisation of trade procedures. ,other,Closed,SITPRO,sitpro
Small Business Service,"The SBS was responsible for establishing policies to ensure that small businesses and organisations could develop. It ceased operation as a stand alone organisation in 2007 with functions being taken over by BERR, subsequently BIS.",other,Closed,Small Business Service,small-business-service
Social Security Agency,The Social Security Agency is a government agency and department within the Department for Social Development (DSD) dealing with social security in Northern Ireland.,executive_agency,Closed,Social Security Agency,social-security-agency
South Bradford Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,South Bradford Education Action Zone,south-bradford-education-action-zone
South East England Development Agency,SEEDA was responsible for developing the economy in the south east. It was abolished in 2012.,executive_agency,Closed,South East England Development Agency,south-east-england-development-agency
South East England Virtual Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,South East England Virtual Education Action Zone,south-east-england-virtual-education-action-zone
South East Sheffield Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,South East Sheffield Education Action Zone,south-east-sheffield-education-action-zone
South Eastern Education and Library Board,"South Eastern Education and Library Board is the local authority for education, library and youth services in the district council areas of Ards, Castlereagh, Down, Lisburn and North Down in Northern Ireland.",other,Closed,South Eastern Education and Library Board,south-eastern-education-and-library-board
South West of England Regional Development Agency,SWRDA was responsible for leading and developing sustainable growth in the south west. It was abolished in 2012.,executive_agency,Closed,South West of England Regional Development Agency,south-west-of-england-regional-development-agency
Southend Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Southend Education Action Zone,southend-education-action-zone
Southern Health and Social Services Board,"The Southern Health and Social Care Trust provides health and social care services across the five council areas of Armagh, Banbridge, Craigavon, Dungannon, and Newry and Mourne.",other,Closed,Southern Health and Social Services Board,southern-health-and-social-services-board
Special EU Programmes Body,"Special EU Programmes Body to manage cross-border European Union Structural Funds programmes in Northern Ireland, the Border Region of Ireland and parts of Western Scotland. ",other,Closed,Special EU Programmes Body,special-eu-programmes-body
Speke Garston Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Speke Garston Education Action Zone,speke-garston-education-action-zone
Sports Council for Northern Ireland,Sport Northern Ireland is the leading public body for the development of sport in Northern Ireland. ,other,Closed,Sports Council for Northern Ireland,sports-council-for-northern-ireland
Sports Council for Wales,Sports Council for Wales are the national organisation responsible for developing and promoting sport and physical activity in Wales.,other,Closed,Sports Council for Wales,sports-council-for-wales
Sports Council Trust,"The Sports Council Trust is a subsidiary of the English Sports Council, now operating as Sport England. It is responsible for providing recreational and sports facilities which are available for public use.",other,Closed,Sports Council Trust,sports-council-trust
Sportscotland,"sportscotland is the national agency for sport in Scotland, and is the organisation responsible for distributing Scotland's share of the National Lottery monies devoted to sport. It was appointed as a distributor under the National Lottery etc Act 1993, which was later modified by the National Lottery Act 1998. ",executive_agency,Closed,Sportscotland,sportscotland
Staff Commission for Education and Library Boards,"The Staff Commission for Education and Library Boards is an Executive Non-Departmental Public Body (NDPB) whose aim is to oversee recruitment, promotion, training and terms and conditions of employment for non-teaching staff employed in Education and Library Boards in Northern Ireland. ",other,Closed,Staff Commission for Education and Library Boards,staff-commission-for-education-and-library-boards
Standards Board for England,"The Standards Board for England, branded as Standards for England, was a non-departmental public body sponsored by the Department for Communities and Local Government.",other,Closed,Standards Board for England,standards-board-for-england
State Veterinary Service,The State Veterinary Service was the government body responsible for animal health and welfare. In 2007 it became a part of Animal Health.,other,Closed,State Veterinary Service,state-veterinary-service
Statistics Commission,"The Statistics Commission was a non-departmental public body established in June 2000 to oversee the work of the Office for National Statistics. Following the introduction of the Statistics and Registration Services Act 2007, the Commission was replaced by the UK Statistics Authority.",other,Closed,Statistics Commission,statistics-commission
Stoke Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Stoke Education Action Zone,stoke-education-action-zone
Strategic Rail Authority,Strategic Rail Authority (SRA) was a non-departmental public body in the United Kingdom set up under the Transport Act 2000 to provide strategic direction for the railway industry.,other,Closed,Strategic Rail Authority,strategic-rail-authority
Sunderland Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Sunderland Education Action Zone,sunderland-education-action-zone
Sutherland Inquiry,The inquiry was setup to review the circumstances surrounding the delay to the marking of National Curriculum tests in 2008.,other,Closed,Sutherland Inquiry,sutherland-inquiry
Telford and Wrekin Education Action Zone,"Education Action Zones were partnerships of schools and other local interests, including business, which had the autonomy and flexibility to harness partners' expertise and develop innovative educational strategies for the benefit of schools and local communities.",other,Closed,Telford and Wrekin Education Action Zone,telford-and-wrekin-education-action-zone
Tenant Services Authority,"The Tenant Services Authority (TSA) was the operating name of the Office for Tenants and Social Landlords, the former regulatory agency of registered providers of social housing in England. TSA's responsibilities passed to the Homes and Communities Agency in 2012.",executive_agency,Closed,Tenant Services Authority,tenant-services-authority
Thurrock Thames Gateway Development Corporation,The corporation was setup in 2003 with the aim of regenerating Thurrock. It was abolished in 2012.,other,Closed,Thurrock Thames Gateway Development Corporation,thurrock-thames-gateway-development-corporation
Training and Development Agency for Schools,The Training and Development Agency for Schools (TDA) was a body responsible for the initial and in-service training of teachers and other school staff in England.,executive_agency,Closed,Training and Development Agency for Schools,training-and-development-agency-for-schools
TRANSEC,"TRANSEC (currently The Department for Transport Martime Security) was responsible for the security of ports, shipping and cargo. Operationally they ensure security arrangements in ports and on passenger ships meet UK standards.",other,Closed,TRANSEC,transec
UK Film Council,The Film Council was set up in 2000 to promote the UK film industry. It was abolished in 2011.,other,Closed,UK Film Council,uk-film-council
UK Government Decontamination Service,"The Government Decontamination Service was set up as an independent agency in October 2005, and became part of The Food and Environment Research Agency in April 2009. The service helps the UK prepare for the recovery following a deliberate act involving chemical, biological, radiological and nuclear (CBRN) materials, or an accidental release of hazardous materials (HAZMAT) in excess of local capability and/or knowledge.",executive_agency,Closed,UK Government Decontamination Service,uk-government-decontamination-service
UK Transplant,NHS Blood and Transplant (NHSBT) is a special health authority of the English National Health Service (NHS).,other,Closed,UK Transplant,uk-transplant
United Kingdom Blood Transfusion Services,The UKBTS is run by the Joint Professional Advisory Committee and is responsible for the dissemination of guidance and best practice on blood transfusion.,other,Closed,United Kingdom Blood Transfusion Services,united-kingdom-blood-transfusion-services
