Link,OffDocTopic,GOVUK Topic
http://www.official-documents.gov.uk/document/hc1213/hc01/0187/0187.asp ,"Government, politics and public administration","Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc01/0187/0187.asp ,Central government,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc01/0187/0187.asp ,Committees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc01/0187/0187.asp ,Government departments,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc01/0187/0187.asp ,Local government committees,Local government
http://www.official-documents.gov.uk/document/hc1213/hc01/0187/0187.asp ,Local government,Local government
http://www.official-documents.gov.uk/document/hc1213/hc01/0187/0187.asp ,Public expenditure,Government spending
http://www.official-documents.gov.uk/document/hc1213/hc01/0187/0187.asp ,Public funding,Government spending
http://www.official-documents.gov.uk/document/hc1213/hc01/0187/0187.asp ,Public services,Government spending
http://www.official-documents.gov.uk/document/hc1213/hc01/0188/0188.asp ,Disclosure,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc01/0188/0188.asp ,Information management,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc01/0188/0188.asp ,Tax,Tax and revenue
http://www.official-documents.gov.uk/document/hc1213/hc01/0189/0189.asp ,Business sectors,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc01/0189/0189.asp ,Climate and weather,Climate change
http://www.official-documents.gov.uk/document/hc1213/hc01/0189/0189.asp ,Distribution and service industries,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc01/0189/0189.asp ,Energy and fuel,Energy
http://www.official-documents.gov.uk/document/hc1213/hc01/0189/0189.asp ,Energy efficiency,Energy
http://www.official-documents.gov.uk/document/hc1213/hc01/0189/0189.asp ,Environment,Environment
http://www.official-documents.gov.uk/document/hc1213/hc01/0189/0189.asp ,Environmental protection,Environment
http://www.official-documents.gov.uk/document/hc1213/hc01/0190/0190.asp ,Armed forces,Defence and armed forces
http://www.official-documents.gov.uk/document/hc1213/hc01/0190/0190.asp ,Defence,Defence and armed forces
http://www.official-documents.gov.uk/document/hc1213/hc01/0191/0191.asp ,Day care,Children and young people
http://www.official-documents.gov.uk/document/hc1213/hc01/0191/0191.asp ,Health care services and specialisms,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc01/0191/0191.asp ,Health care,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc01/0191/0191.asp ,NHS management,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc01/0191/0191.asp ,National Health Service (NHS),National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc01/0191/0191.asp ,Primary health care,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc01/0191/0191.asp ,Secondary health care,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc01/0192/0192.asp ,Population and migration,Borders and immigration
http://www.official-documents.gov.uk/document/hc1213/hc01/0193/0193.asp ,Schools,Schools
http://www.official-documents.gov.uk/document/hc1213/hc01/0194/0194.asp ,Immigration and nationality,Borders and immigration
http://www.official-documents.gov.uk/document/hc1213/hc01/0195/0195.asp ,ICT services,Science and innovation
http://www.official-documents.gov.uk/document/hc1213/hc01/0195/0195.asp ,Legal proceedings,Law and the justice system
http://www.official-documents.gov.uk/document/hc1213/hc01/0195/0195.asp ,Local taxes,Local government
http://www.official-documents.gov.uk/document/hc1213/hc01/0197/0197.asp ,Consumer affairs,Consumer rights and issues
http://www.official-documents.gov.uk/document/hc1213/hc01/0197/0197.asp ,Consumer complaints,Consumer rights and issues
http://www.official-documents.gov.uk/document/hc1213/hc01/0198/0198.asp ,Business development,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc01/0198/0198.asp ,Economic development,Trade and investment
http://www.official-documents.gov.uk/document/hc1213/hc01/0198/0198.asp ,Regional Development Agencies,Local government
http://www.official-documents.gov.uk/document/hc1213/hc01/0198/0198.asp ,Regional policy,Local government
http://www.official-documents.gov.uk/document/hc1213/hc01/0198/0198.asp ,Rural development,Rural and countryside
http://www.official-documents.gov.uk/document/hc1213/hc02/0202/0202.asp ,International development and aid,International aid and development
http://www.official-documents.gov.uk/document/hc1213/hc02/0202/0202.asp ,National Lottery,Arts and culture
http://www.official-documents.gov.uk/document/hc1213/hc02/0202/0202.asp ,Sports administration,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0202/0202.asp ,Sports coaching,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0202/0202.asp ,Sports councils,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0202/0202.asp ,Sports development,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0202/0202.asp ,Sports grants and development funds,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0203/0203.asp ,"Government, politics and public administration","Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc02/0203/0203.asp ,Committees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc02/0203/0203.asp ,Council performance,Local government
http://www.official-documents.gov.uk/document/hc1213/hc02/0203/0203.asp ,Democracy and elections,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/hc1213/hc02/0203/0203.asp ,Electoral registration,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/hc1213/hc02/0203/0203.asp ,Land and premises,Planning and building
http://www.official-documents.gov.uk/document/hc1213/hc02/0203/0203.asp ,Local government committees,Local government
http://www.official-documents.gov.uk/document/hc1213/hc02/0203/0203.asp ,Local government structure,Local government
http://www.official-documents.gov.uk/document/hc1213/hc02/0203/0203.asp ,Local government,Local government
http://www.official-documents.gov.uk/document/hc1213/hc02/0203/0203.asp ,Planning (town and country),Planning and building
http://www.official-documents.gov.uk/document/hc1213/hc02/0204/0204.asp ,Community safety,Community and society
http://www.official-documents.gov.uk/document/hc1213/hc02/0204/0204.asp ,Health and safety at work,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0204/0204.asp ,Health and safety inspections,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0204/0204.asp ,Health and safety investigations,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0204/0204.asp ,Health and safety policies,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0204/0204.asp ,Health and safety risk assessment,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0204/0204.asp ,Health policies and strategies,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0204/0204.asp ,Safety,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0205/0205.asp ,Rural communities,Rural and countryside
http://www.official-documents.gov.uk/document/hc1213/hc02/0207/0207.asp ,Environmental health,Environment
http://www.official-documents.gov.uk/document/hc1213/hc02/0207/0207.asp ,Health promotion,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0207/0207.asp ,Health,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0208/0208.asp ,Business development,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0208/0208.asp ,Economic development,Trade and investment
http://www.official-documents.gov.uk/document/hc1213/hc02/0208/0208.asp ,Regional Development Agencies,Local government
http://www.official-documents.gov.uk/document/hc1213/hc02/0208/0208.asp ,Regional policy,Local government
http://www.official-documents.gov.uk/document/hc1213/hc02/0210/0210.asp ,Business development,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0210/0210.asp ,Community development,Community and society
http://www.official-documents.gov.uk/document/hc1213/hc02/0210/0210.asp ,National Assembly for Wales,Wales
http://www.official-documents.gov.uk/document/hc1213/hc02/0213/0213.asp ,Land and premises,Planning and building
http://www.official-documents.gov.uk/document/hc1213/hc02/0213/0213.asp ,Land registration,Planning and building
http://www.official-documents.gov.uk/document/hc1213/hc02/0213/0213.asp ,Land searches,Planning and building
http://www.official-documents.gov.uk/document/hc1213/hc02/0214/0214.asp ,Community safety,Community and society
http://www.official-documents.gov.uk/document/hc1213/hc02/0214/0214.asp ,Health and safety at work,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0214/0214.asp ,Health and safety investigations,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0214/0214.asp ,Health and safety policies,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0214/0214.asp ,Safety equipment,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0214/0214.asp ,Safety in the home,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0214/0214.asp ,Safety,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0215/0215.asp ,Health and safety risk assessment,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0215/0215.asp ,National Health Service (NHS),National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0215/0215.asp ,Primary health care,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0216/0216.asp ,Common Fisheries Policy,Food and farming
http://www.official-documents.gov.uk/document/hc1213/hc02/0216/0216.asp ,Fisheries and aquaculture,Food and farming
http://www.official-documents.gov.uk/document/hc1213/hc02/0217/0217.asp ,Addiction,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0217/0217.asp ,Business people,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0217/0217.asp ,Directors,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0217/0217.asp ,Meetings,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc02/0217/0217.asp ,National Health Service (NHS),National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0217/0217.asp ,People and organisations,Social care
http://www.official-documents.gov.uk/document/hc1213/hc02/0217/0217.asp ,People,Social care
http://www.official-documents.gov.uk/document/hc1213/hc02/0217/0217.asp ,Social issues,Community and society
http://www.official-documents.gov.uk/document/hc1213/hc02/0222/0222.asp ,National Lottery,Arts and culture
http://www.official-documents.gov.uk/document/hc1213/hc02/0223/0223.asp ,Council housing,Local government
http://www.official-documents.gov.uk/document/hc1213/hc02/0223/0223.asp ,Council policies and plans,Local government
http://www.official-documents.gov.uk/document/hc1213/hc02/0223/0223.asp ,Research and development,Science and innovation
http://www.official-documents.gov.uk/document/hc1213/hc02/0228/0228.asp ,Medicines,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0230/0230.asp ,Rural development,Rural and countryside
http://www.official-documents.gov.uk/document/hc1213/hc02/0231/0231.asp ,Planning (town and country),Planning and building
http://www.official-documents.gov.uk/document/hc1213/hc02/0232/0232.asp ,Planning (town and country),Planning and building
http://www.official-documents.gov.uk/document/hc1213/hc02/0234/0234.asp ,"Health, well-being and care",National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0234/0234.asp ,Care,Social care
http://www.official-documents.gov.uk/document/hc1213/hc02/0234/0234.asp ,Health and social care professionals,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0234/0234.asp ,Social workers,Social care
http://www.official-documents.gov.uk/document/hc1213/hc02/0235/0235.asp ,Business development,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0235/0235.asp ,Emergencies,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0235/0235.asp ,Emergency services,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0235/0235.asp ,Fire,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0235/0235.asp ,Health and safety at work,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0235/0235.asp ,Safety,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0242/0242.asp ,"School governance, management and finance",Schools
http://www.official-documents.gov.uk/document/hc1213/hc02/0242/0242.asp ,School types,Schools
http://www.official-documents.gov.uk/document/hc1213/hc02/0242/0242.asp ,Teachers and school staff,Schools
http://www.official-documents.gov.uk/document/hc1213/hc02/0243/0243.asp ,Library and information services,Local government
http://www.official-documents.gov.uk/document/hc1213/hc02/0245/0245.asp ,Climate and weather,Climate change
http://www.official-documents.gov.uk/document/hc1213/hc02/0247/0247.asp ,Children,Children and young people
http://www.official-documents.gov.uk/document/hc1213/hc02/0248/0248.asp ,Trustees,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc02/0249/0249.asp ,Council performance,Local government
http://www.official-documents.gov.uk/document/hc1213/hc02/0249/0249.asp ,Economics and finance,Trade and investment
http://www.official-documents.gov.uk/document/hc1213/hc02/0249/0249.asp ,National Health Service (NHS),National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0249/0249.asp ,Public finance,Government spending
http://www.official-documents.gov.uk/document/hc1213/hc02/0250/0250.asp ,Advice agencies,Community and society
http://www.official-documents.gov.uk/document/hc1213/hc02/0250/0250.asp ,Business people,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0250/0250.asp ,Computer applications,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc02/0250/0250.asp ,Directors,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0250/0250.asp ,Home care,Social care
http://www.official-documents.gov.uk/document/hc1213/hc02/0250/0250.asp ,Information and communication technology,Media and communications
http://www.official-documents.gov.uk/document/hc1213/hc02/0250/0250.asp ,Pensions,Pensions and ageing society
http://www.official-documents.gov.uk/document/hc1213/hc02/0250/0250.asp ,Personal finance,Consumer rights and issues
http://www.official-documents.gov.uk/document/hc1213/hc02/0251/0251.asp ,Disability,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/hc1213/hc02/0251/0251.asp ,Equal opportunities and diversity,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/hc1213/hc02/0251/0251.asp ,Illnesses,Public health
http://www.official-documents.gov.uk/document/hc1213/hc02/0251/0251.asp ,Learning disabilities,Further education and skills
http://www.official-documents.gov.uk/document/hc1213/hc02/0251/0251.asp ,Learning skills,Further education and skills
http://www.official-documents.gov.uk/document/hc1213/hc02/0251/0251.asp ,Older people,Pensions and ageing society
http://www.official-documents.gov.uk/document/hc1213/hc02/0251/0251.asp ,Public bodies,Government spending
http://www.official-documents.gov.uk/document/hc1213/hc02/0251/0251.asp ,Skills and competences,Further education and skills
http://www.official-documents.gov.uk/document/hc1213/hc02/0251/0251.asp ,Social inclusion,Community and society
http://www.official-documents.gov.uk/document/hc1213/hc02/0251/0251.asp ,Social issues,Community and society
http://www.official-documents.gov.uk/document/hc1213/hc02/0252/0252.asp ,Consumer affairs,Consumer rights and issues
http://www.official-documents.gov.uk/document/hc1213/hc02/0252/0252.asp ,Consumer protection,Consumer rights and issues
http://www.official-documents.gov.uk/document/hc1213/hc02/0252/0252.asp ,Health and safety investigations,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0252/0252.asp ,Organisations,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0252/0252.asp ,Policy making,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc02/0252/0252.asp ,Public bodies,Government spending
http://www.official-documents.gov.uk/document/hc1213/hc02/0253/0253.asp ,Gambling and lotteries,Arts and culture
http://www.official-documents.gov.uk/document/hc1213/hc02/0253/0253.asp ,Gambling and lottery licences,Arts and culture
http://www.official-documents.gov.uk/document/hc1213/hc02/0254/0254.asp ,Gambling and lottery licences,Arts and culture
http://www.official-documents.gov.uk/document/hc1213/hc02/0254/0254.asp ,National Lottery,Arts and culture
http://www.official-documents.gov.uk/document/hc1213/hc02/0258/0258.asp ,Roads and highways,Transport
http://www.official-documents.gov.uk/document/hc1213/hc02/0261/0261.asp ,Health and safety monitoring,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0261/0261.asp ,MOT tests,Transport
http://www.official-documents.gov.uk/document/hc1213/hc02/0261/0261.asp ,Manufacturing,UK economy
http://www.official-documents.gov.uk/document/hc1213/hc02/0261/0261.asp ,Road safety,Transport
http://www.official-documents.gov.uk/document/hc1213/hc02/0261/0261.asp ,Road transport,Transport
http://www.official-documents.gov.uk/document/hc1213/hc02/0261/0261.asp ,Safety,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0261/0261.asp ,Transport and infrastructure,Transport
http://www.official-documents.gov.uk/document/hc1213/hc02/0261/0261.asp ,Vehicles,Transport
http://www.official-documents.gov.uk/document/hc1213/hc02/0262/0262.asp ,National Lottery,Arts and culture
http://www.official-documents.gov.uk/document/hc1213/hc02/0262/0262.asp ,Sports administration,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0262/0262.asp ,Sports and recreation facilities,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0262/0262.asp ,Sports clubs,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0262/0262.asp ,Sports councils,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0262/0262.asp ,Sports development,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0262/0262.asp ,Sports grants and development funds,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0262/0262.asp ,Sports grounds,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0263/0263.asp ,"Public order, justice and rights",Law and the justice system
http://www.official-documents.gov.uk/document/hc1213/hc02/0263/0263.asp ,Business people,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0263/0263.asp ,Crime and law enforcement,Crime and policing
http://www.official-documents.gov.uk/document/hc1213/hc02/0263/0263.asp ,Directors,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0263/0263.asp ,Emergencies,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0263/0263.asp ,Emergency services,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc02/0263/0263.asp ,People,Social care
http://www.official-documents.gov.uk/document/hc1213/hc02/0263/0263.asp ,Police,Crime and policing
http://www.official-documents.gov.uk/document/hc1213/hc02/0266/0266.asp ,Heritage,Arts and culture
http://www.official-documents.gov.uk/document/hc1213/hc02/0268/0268.asp ,Sports administration,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0268/0268.asp ,Sports and recreation facilities,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0268/0268.asp ,Sports development,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0268/0268.asp ,Sports grounds,Sports and leisure
http://www.official-documents.gov.uk/document/hc1213/hc02/0269/0269.asp ,Business people,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0269/0269.asp ,Companies,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0269/0269.asp ,Directors,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0273/0273.asp ,Nature conservation,Environment
http://www.official-documents.gov.uk/document/hc1213/hc02/0276/0276.asp ,Defence policy,Defence and armed forces
http://www.official-documents.gov.uk/document/hc1213/hc02/0276/0276.asp ,Police,Crime and policing
http://www.official-documents.gov.uk/document/hc1213/hc02/0277/0277.asp ,Law,Law and the justice system
http://www.official-documents.gov.uk/document/hc1213/hc02/0278/0278.asp ,NHS management,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0278/0278.asp ,National Health Service (NHS),National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0278/0278.asp ,Primary health care,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0280/0280.asp ,Northern Ireland Assembly,Northern Ireland
http://www.official-documents.gov.uk/document/hc1213/hc02/0281/0281.asp ,Employment relations,Employment
http://www.official-documents.gov.uk/document/hc1213/hc02/0281/0281.asp ,Youth employment,Children and young people
http://www.official-documents.gov.uk/document/hc1213/hc02/0281/0281.asp ,Youth employment,Children and young people
http://www.official-documents.gov.uk/document/hc1213/hc02/0283/0283.asp ,Arts administration,Arts and culture
http://www.official-documents.gov.uk/document/hc1213/hc02/0284/0284.asp ,Companies,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc02/0290/0290.asp ,Security,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc02/0291/0291.asp ,Crime,Crime and policing
http://www.official-documents.gov.uk/document/hc1213/hc02/0293/0293.asp ,"Health, well-being and care",National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0293/0293.asp ,Health care,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0293/0293.asp ,Health policies and strategies,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0293/0293.asp ,NHS management,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0293/0293.asp ,National Health Service (NHS),National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0293/0293.asp ,Primary health care,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc02/0294/0294.asp ,Gambling and lottery licences,Arts and culture
http://www.official-documents.gov.uk/document/hc1213/hc02/0294/0294.asp ,National Lottery,Arts and culture
http://www.official-documents.gov.uk/document/hc1213/hc02/0295/0295.asp ,Heritage,Arts and culture
http://www.official-documents.gov.uk/document/hc1213/hc02/0299/0299.asp ,Children,Children and young people
http://www.official-documents.gov.uk/document/hc1213/hc03/0302/0302.asp ,Research and development,Science and innovation
http://www.official-documents.gov.uk/document/hc1213/hc03/0306/0306.asp ,Medicines,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc03/0307/0307.asp ,"Public order, justice and rights",Law and the justice system
http://www.official-documents.gov.uk/document/hc1213/hc03/0307/0307.asp ,Business advice services,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc03/0307/0307.asp ,Executive agencies,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc03/0307/0307.asp ,Law,Law and the justice system
http://www.official-documents.gov.uk/document/hc1213/hc03/0307/0307.asp ,Legal services,Law and the justice system
http://www.official-documents.gov.uk/document/hc1213/hc03/0307/0307.asp ,Privacy and data protection,Law and the justice system
http://www.official-documents.gov.uk/document/hc1213/hc03/0310/0310.asp ,Children,Children and young people
http://www.official-documents.gov.uk/document/hc1213/hc03/0310/0310.asp ,Courts of law,Law and the justice system
http://www.official-documents.gov.uk/document/hc1213/hc03/0310/0310.asp ,Families,Children and young people
http://www.official-documents.gov.uk/document/hc1213/hc03/0310/0310.asp ,Family support,Children and young people
http://www.official-documents.gov.uk/document/hc1213/hc03/0323/0323.asp ,Business development,Business and enterprise
http://www.official-documents.gov.uk/document/hc1213/hc03/0323/0323.asp ,Courts of law,Law and the justice system
http://www.official-documents.gov.uk/document/hc1213/hc03/0326/0326.asp ,Consumer affairs,Consumer rights and issues
http://www.official-documents.gov.uk/document/hc1213/hc03/0326/0326.asp ,Consumer complaints,Consumer rights and issues
http://www.official-documents.gov.uk/document/hc1213/hc03/0326/0326.asp ,Death,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/hc1213/hc03/0326/0326.asp ,Life events,Borders and immigration
http://www.official-documents.gov.uk/document/hc1213/hc03/0326/0326.asp ,Marriage and cohabitation,Children and young people
http://www.official-documents.gov.uk/document/hc1213/hc03/0326/0326.asp ,Population and migration,Borders and immigration
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Care,Social care
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Freedom of information,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Health and safety investigations,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Health and safety policies,Public safety and emergencies
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Health policies and strategies,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Health promotion,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Health,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Information and communication,Media and communications
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Information assets,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Information management,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Information,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Library and information services,Local government
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Primary health care,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc03/0332/0332.asp ,Secondary health care,National Health Service
http://www.official-documents.gov.uk/document/hc1213/hc03/0333/0333.asp ,Defence equipment and supplies,Defence and armed forces
http://www.official-documents.gov.uk/document/hc1213/hc03/0333/0333.asp ,Defence policy,Defence and armed forces
http://www.official-documents.gov.uk/document/hc1213/hc03/0333/0333.asp ,Social and support groups,Community and society
http://www.official-documents.gov.uk/document/hc1213/hc03/0334/0334.asp ,Benefits,Welfare
http://www.official-documents.gov.uk/document/hc1213/hc03/0334/0334.asp ,Sickness and disability benefits,Welfare
http://www.official-documents.gov.uk/document/hc1213/hc03/0336/0336.asp ,Social housing,Housing
http://www.official-documents.gov.uk/document/hc1213/hc03/0336/0336.asp ,Tenants,Housing
http://www.official-documents.gov.uk/document/hc1213/hc03/0340/0340.asp ,Pensions,Pensions and ageing society
http://www.official-documents.gov.uk/document/hc1213/hc03/0341/0341.asp ,Food and drink,Food and farming
http://www.official-documents.gov.uk/document/hc1213/hc03/0341/0341.asp ,Food safety,Food and farming
http://www.official-documents.gov.uk/document/hc1213/hc03/0343/0343.asp ,Archives,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc03/0343/0343.asp ,Libraries,Local government
http://www.official-documents.gov.uk/document/hc1213/hc03/0345/0345.asp ,"Plants, animals and wildlife",Environment
http://www.official-documents.gov.uk/document/hc1213/hc03/0345/0345.asp ,Animal experimentation,Wildlife and animal welfare
http://www.official-documents.gov.uk/document/hc1213/hc03/0345/0345.asp ,Animal rights and welfare,Wildlife and animal welfare
http://www.official-documents.gov.uk/document/hc1213/hc03/0345/0345.asp ,Immigration and nationality,Borders and immigration
http://www.official-documents.gov.uk/document/hc1213/hc03/0346/0346.asp ,Currencies and exchange rates,Trade and investment
http://www.official-documents.gov.uk/document/hc1213/hc03/0346/0346.asp ,UK economy,UK economy
http://www.official-documents.gov.uk/document/hc1213/hc03/0349/0349.asp ,Police,Crime and policing
http://www.official-documents.gov.uk/document/hc1213/hc03/0350/0350.asp ,Confidential information,National security
http://www.official-documents.gov.uk/document/hc1213/hc03/0350/0350.asp ,Freedom of information,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc03/0350/0350.asp ,Information and communication,Media and communications
http://www.official-documents.gov.uk/document/hc1213/hc03/0350/0350.asp ,Information,"Government efficiency, transparency and accountability"
http://www.official-documents.gov.uk/document/hc1213/hc03/0353/0353.asp ,Local service partnerships,Local government
http://www.official-documents.gov.uk/document/hc1213/hc03/0353/0353.asp ,Regulation and deregulation,Regulation reform
http://www.official-documents.gov.uk/document/hc1213/hc03/0354/0354.asp ,Community development,Community and society
http://www.official-documents.gov.uk/document/hc1213/hc03/0354/0354.asp ,Economic development,Trade and investment
http://www.official-documents.gov.uk/document/hc1213/hc03/0357/0357.asp ,Civil and human rights,"Equality, rights and citizenship"
http://www.official-documents.gov.uk/document/hc1213/hc03/0358/0358.asp ,Employment terms and conditions,Employment
http://www.official-documents.gov.uk/document/hc1213/hc03/0358/0358.asp ,Pay,Employment
